input,given,family,orcid,name,identifier,start,end
Jeffrey Becker,Jeffrey,Becker,0000-0002-9799-7243,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0002-0061-1392,Center for Naval Analyses,https://ror.org/000z4wj31,2018,
Jeffrey Becker,Jeffrey,Becker,0000-0001-7645-2466,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0003-0467-5913,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Binghamton University,http://dx.doi.org/10.13039/100008451,2021,
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Binghamton University,http://dx.doi.org/10.13039/100008451,2016,2021
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of Mississippi,8083,2015,2016
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Oxford School District (Mississippi),,2013,2015
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of North Carolina at Chapel Hill,2331,2011,2013
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of North Carolina at Chapel Hill,2331,2012,2013
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Brown University,https://ror.org/05gq02987,2010,2011
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,McMaster University,3710,2009,2010
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Boston University,1846,2008,2009
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,College of William and Mary,8604,2007,2008
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,The University of North Carolina at Chapel Hill,2331,2006,2007
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of North Carolina at Chapel Hill,2331,2007,2007
Jeffrey Becker,Jeffrey,Becker,0009-0007-6442-9462,University of Wisconsin–Madison,https://ror.org/01y2jtd41,,
Leslie Engel,Leslie,Engel,0000-0002-9774-238X,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0002-6936-0771,University of Tennessee at Knoxville,https://ror.org/020f3ap87,2004,
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Dublin,8797,2014,
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Dublin,8797,1994,2013
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Dublin,8797,2009,2011
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,Imperial College London,4615,1991,1994
Michael A. Gilchrist,Michael,Gilchrist,0000-0001-9762-1951,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0001-8261-3158,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0002-2931-9547,University of Georgia,https://ror.org/00te3t702,,
Marc Kramer,marc,kramer,0000-0002-8022-4527,,,,
Marc Kramer,Marc M.,Kramer,0000-0003-2636-8658,University of Groningen,https://ror.org/012p63287,2013,
Louis Santiago,Louis,Santiago,0000-0002-6943-7177,,,,
Louis Santiago,Louis,Santiago,0000-0001-5994-6122,"University of California, Riverside",http://dx.doi.org/10.13039/100007602,2006,
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,Victoria University of Wellington,8491,,
Lisa M. Angeloni,Lisa,Angeloni,0000-0002-2385-0599,,,,
Katherine Colburn,Katherine,Colburn,0000-0002-8263-7376,,,,
Katherine Colburn,Katherine,Colburn,0009-0004-0441-6000,Texas A&M University – Corpus Christi,https://ror.org/01mrfdz82,2020,
James Michael Daniels,James,Daniels,0000-0001-8600-5715,,,,
James Michael Daniels,James,Daniels,0000-0002-1160-7073,,,,
James Michael Daniels,James,Daniels,0000-0002-6737-6622,,,,
James Michael Daniels,James,Daniels,0000-0002-0771-4730,,,,
James Michael Daniels,James,Daniels,0000-0002-9066-8631,,,,
James Michael Daniels,James,Daniels,0009-0000-6025-6751,,,,
James Michael Daniels,James,Daniels,0000-0002-5933-8423,Queen Elizabeth Hospital Birmingham,https://ror.org/048emj907,2024,2025
James Michael Daniels,James,Daniels,0009-0006-5760-0471,,,,
James Michael Daniels,James,Daniels,0009-0007-8473-4413,,,,
James Michael Daniels,James,Daniels,0009-0000-6648-0754,North Carolina Agricultural and Technical State University,https://ror.org/02aze4h65,2025,
James Michael Daniels,James,Daniels,0000-0003-3360-6175,,,,
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,University of Louisville Hospital,https://ror.org/04sq8k219,2024,
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,Cedars-Sinai Medical Center,https://ror.org/02pammg90,2022,2024
James Michael Daniels,"John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,
Kristin Gade,Kristin,Gade,0000-0003-3564-9494,,,,
Jeffrey Goldman,Jeffrey,Goldman,0009-0004-7094-9964,Holy Name Medical Center,https://ror.org/05fnpxf31,,
Jason Rice,Jason,Rice,0000-0003-2686-2445,,,,
Jason Rice,Jason,Rice,0000-0002-1903-5997,Loyola University Health System,23356,2013,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-5253-4608,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-3653-2557,Texas Tech University,6177,2009,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-4806-193X,Loyola University Maryland,https://ror.org/01by1wp65,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,Yale School of Medicine,12228,,
Jeremy Schwartz,Jeremy,Speed-Schwartz,0009-0004-3839-2860,Kennesaw State University,https://ror.org/00jeqjx33,,
Stacey L. Smith,Stacey,Smith,0000-0001-7013-8679,,,,
Stacey L. Smith,STACEY,SMITH,0000-0003-2010-4459,University of Colorado Boulder,1877,,
Stacey L. Smith,Stacey,Smith,0000-0002-0147-6444,Vitanya Brain Performance,,2018,
Stacey L. Smith,Stacey,Smith,0000-0003-0139-338X,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-2425-1950,,,,
