input,given,family,orcid,name,identifier,department,degree,start,end
"Becker,J.",Piet J,Becker,0000-0002-9384-6472,,,,,,
"Becker,J.",Cynthia J.,Becker,0000-0002-9594-448X,,,,,,
"Becker,J.",Udo J.,Becker,0000-0001-7707-7055,,,,,,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,Ruprecht Karls Universität Heidelberg,9144,,M.Sc. Biochemistry,,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,Georg-August-Universität Göttingen,9375,Molecular Biology,B.Sc. Biology,,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,ETH Zurich,grid.5801.c,Pharmaceutical Chemistry,PhD,2020,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,Sir William Dunn School of Pathology,98972,,Otto Bayer Fellowship,2018,2019
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Universidad de Salamanca,16779,,MBA Turismo Sostenible,2016,2018
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Fundación Simón de Cirene,,,Diplomado en Gestión de Empresas Sociales,2015,2015
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Universidad Técnica Federico Santa María,http://dx.doi.org/10.13039/100009051,,Ingeniero Civil Industrial,2001,2008
"Becker,J.",Albert J.,Becker,0000-0003-2661-3705,,,,,,
"Becker,J.",J. Ole,Becker,0000-0002-2204-3613,,,,,,
"Engel,L.",MARIELA L.,ENGEL,0000-0002-5735-5887,,,,,,
"Engel,L.",Abbi L,Engel,0000-0002-2664-2082,,,,,,
"Ferris,L. A.",Alan L.,Ferris,0009-0005-7877-9426,,,,,,
"Graff,J. R.",Harvey J.,Graff,0000-0003-3761-931X,University of Toronto,https://ror.org/03dbr7087,History & History of Education,PhD,1970,1975
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,University of Kansas,4202,,PhD,1994,2001
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,University of Kansas,4202,,MN,1984,1988
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,Georgia Regents University Medical College of Georgia,160343,,BSN,1965,1969
"Tucker,L.",Mary L,Tucker,0000-0001-8899-0800,,,,,,
"Santiago,L.",Brenda L,Santiago,0000-0002-6063-2769,Pontifical Catholic University of Puerto Rico,https://ror.org/0538pfx71,,,,
"Santiago,L.",Mario L.,Santiago,0000-0001-7792-2706,University of Alabama at Birmingham,9968,,PhD Microbiology,,
"Santiago,L.",Mario L.,Santiago,0000-0001-7792-2706,Gladstone Institute of Virology and Immunology,327154,,Post-doctoral Fellow,,
"Santiago,L.",Jose L.,Santiago,0000-0002-1379-9478,,,,,,
"Santiago,L.",Dr. Riogel L.,Santiago,0000-0002-1748-6903,,,,,,
"Santiago,L.",L Goretti,Santiago Gutierrez,0000-0001-6793-7349,Universidad de La Laguna,http://dx.doi.org/10.13039/100015528,,Licenciada en Farmacia,1979,1985
"Santiago,L.",Sandra L.,Soto-Santiago,0000-0002-8078-7063,The University of Arizona,8041,"Teaching, Learning and Sociocultural Studies",PhD,2009,2014
"Rice,J.",Edward J.,Rice,0000-0001-8501-6009,,,,,,
"Rice,J.",Peter J,Rice,0000-0002-0707-0138,,,,,,
"Daniels,J. M.",J. Michael,Daniels,0000-0002-1673-4231,,,,,,
"Daniels,J. M.",Daniel J.,Daniels,0009-0007-8031-4147,,,,,,
"Daniels,J. M.",R J Ranjit,Daniels,0000-0003-2134-6310,,,,,,
"Daniels,J. M.",Vicky J.,"Daniels, Miller",0009-0003-4733-3232,Gonzaga University,https://ror.org/03ze70h02,Leadership,DPLS,2019,2024
"Daniels,J. M.","John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,,,
"Daniels,J. M.","Jacquitta Daniels, J. KaTrina Daniels, KaTrina Daniels, Jacquitta K. Daniels",Daniels,0009-0000-4045-9527,,,,,,
"Schwartz,J.",Allan J,Schwartz,0000-0003-0869-4249,,,,,,
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,North Shore University Hospital,https://ror.org/05m8d2x46,Neurology,Movement Disorders Fellowship,2006,2008
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,Long Island Jewish Medical Center,https://ror.org/00c8v4891,Neurology,Residency,2003,2006
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,Elmhurst Hospital Center,https://ror.org/03n34rg04,Internal Medicine,Internship,2002,2003
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,"Sackler Faculty of Medicine, Tel-Aviv University",http://dx.doi.org/10.13039/501100019355,,Medical Doctor,1998,2002
"Schwartz,J.",Rodrigo J,Schwartz,0000-0003-1609-143X,,,,,,
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,University of Milan,,,Specialist in Cardiology,,1973
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,University of Milan,,,Medicine & Surgery degree,1961,1966
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,Liceo Classico Gallio,,,,1956,1961
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,Stanford University,6429,Economics,Ph.D. Economics,1980,1988
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,Williams College,8609,"Economics, Religion",A.B.,1975,1979
"Smith,S. L.",s,smith,0009-0001-0644-3377,,,,,,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Cambridge,2152,Zoology,MA,,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Aberdeen,1019,Zoology,PhD,1976,1980
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Aberdeen,1019,Zoology,BSc Hons 1st Class,1972,1976
"Smith,S. L.",S Kathryn,Smith,0000-0001-9103-2064,,,,,,
"Smith,S. L.",S. Faye,Smith,0000-0003-1146-8509,,,,,,
"Smith,S. L.",James S,Smith,0000-0001-9685-3849,,,,,,
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Columbia University,5798,Physics,"Masters, PhD",1971,1977
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Columbia University Columbia College,236433,Physics,BS,1969,1971
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,University of Virginia,2358,,,1967,1969
"Smith,S. L.",Malinda S,Smith,0000-0001-5754-455X,,,,,,
"Smith,S. L.",Kirsty S,Smith,0000-0003-2637-3561,,,,,,
