input,given,family,orcid,title,funder,identifier,award,start,end
Jeffrey Becker,Jeffrey,Becker,0000-0002-9799-7243,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0002-0061-1392,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-7645-2466,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0003-0467-5913,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,,,,,,
Jeffrey Becker,Jeffrey,Becker,0009-0007-6442-9462,,,,,,
Leslie Engel,Leslie,Engel,0000-0002-9774-238X,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0002-6936-0771,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0001-9762-1951,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0001-8261-3158,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0002-2931-9547,,,,,,
Marc Kramer,marc,kramer,0000-0002-8022-4527,,,,,,
Marc Kramer,Marc M.,Kramer,0000-0003-2636-8658,,,,,,
Louis Santiago,Louis,Santiago,0000-0002-6943-7177,,,,,,
Louis Santiago,Louis,Santiago,0000-0001-5994-6122,,,,,,
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,"Born at the right time?  Disentangling the effects of birthdate and developmental trajectories on fitness, population dynamics, and the evolution of life-history strategies",Marsden Fund,http://dx.doi.org/10.13039/501100009193,MFP-15-VUW-028,2016,2019
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,Winners and losers: effects of demographic heterogeneity on individual fitness and the dynamics of marine metapopulations,Marsden Fund,http://dx.doi.org/10.13039/501100009193,MFP-12-VUW-009,2013,2016
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,Shining a light on lanternfishes to reveal hidden linkages between ecosystems,Marsden Fund,http://dx.doi.org/10.13039/501100009193,MFP-23-VUW-019,2024,2027
Lisa M. Angeloni,Lisa,Angeloni,0000-0002-2385-0599,,,,,,
Katherine Colburn,Katherine,Colburn,0000-0002-8263-7376,,,,,,
Katherine Colburn,Katherine,Colburn,0009-0004-0441-6000,,,,,,
James Michael Daniels,James,Daniels,0000-0001-8600-5715,,,,,,
James Michael Daniels,James,Daniels,0000-0002-1160-7073,,,,,,
James Michael Daniels,James,Daniels,0000-0002-6737-6622,,,,,,
James Michael Daniels,James,Daniels,0000-0002-0771-4730,,,,,,
James Michael Daniels,James,Daniels,0000-0002-9066-8631,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6025-6751,,,,,,
James Michael Daniels,James,Daniels,0000-0002-5933-8423,,,,,,
James Michael Daniels,James,Daniels,0009-0006-5760-0471,,,,,,
James Michael Daniels,James,Daniels,0009-0007-8473-4413,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6648-0754,,,,,,
James Michael Daniels,James,Daniels,0000-0003-3360-6175,,,,,,
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,,,,,,
James Michael Daniels,"John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,,,
Kristin Gade,Kristin,Gade,0000-0003-3564-9494,,,,,,
Jeffrey Goldman,Jeffrey,Goldman,0009-0004-7094-9964,,,,,,
Jason Rice,Jason,Rice,0000-0003-2686-2445,,,,,,
Jason Rice,Jason,Rice,0000-0002-1903-5997,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-5253-4608,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-3653-2557,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-4806-193X,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,,,,,,
Jeremy Schwartz,Jeremy,Speed-Schwartz,0009-0004-3839-2860,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-7013-8679,,,,,,
Stacey L. Smith,STACEY,SMITH,0000-0003-2010-4459,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-0147-6444,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0003-0139-338X,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-2425-1950,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-7438-9827,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-9224-7219,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5588-2328,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0002-0069-3831,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0001-4248-3958,,,,,,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,,,,,,
Stacey L. Smith,Stacey,Glass-Smith,0000-0002-8813-4120,,,,,,
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,,,,,,
Stacey L. Smith,Stacey,Mills-Smith,0009-0009-3941-4036,,,,,,
Stacey L. Smith,Stacey Burkhalter,Smith,0009-0003-8318-0114,,,,,,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Development and characterization of G protein inhibitors,Lundbeck Foundation,,R171-2014-505,2015,2018
Erin Boyd,Erin,Boyd,0000-0002-2230-2419,,,,,,
Erin Boyd,Erin,Boyd,0000-0002-3611-7505,,,,,,
Martha O. Burford,Martha ,Burford,0009-0002-1731-7226,,,,,,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,Determining Optimal Fire Return Interval And Potential Future Distribution For Two Endangered Butterflies And Their Host Plants In Everglades National Park.,National Park Service,http://dx.doi.org/10.13039/100007516,P18AC01047,2019,2020
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,RAPID: Interacting effects of disturbances on population demography,Directorate for Biological Sciences,http://dx.doi.org/10.13039/100000076,1801289,2018,2019
Carolyn Cruz,carolyn,de la cruz,0000-0003-3424-9747,,,,,,
Carolyn Cruz,jossely carolyn,colombino de la cruz,0000-0001-9103-2558,,,,,,
Lia M. Gaertner,Lia,Gaertner,0009-0002-6512-017X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-2286-6046,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-3026-562X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-5433-6840,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0002-2783-6460,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0001-6356-3976,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0009-2844-5099,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0007-0115-6049,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0003-0165-7488,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Force enhancement ein- und mehrgelenkiger Muskelaktionen in vivo bei maximal und submaximal willentlicher Aktivierung,German Research Foundation,http://dx.doi.org/10.13039/501100001659,158171487,2009,2014
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,"Contractile, elastic, and neural mechanisms of muscular performance enhancement during stretch-shortening cycles.",German Research Foundation,http://dx.doi.org/10.13039/501100001659,354863464,2017,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Mechanical and neural factors underlying muscle performance during submaximal voluntary shortening contractions,Deutsche Forschungsgemeinschaft,http://dx.doi.org/10.13039/501100001659,447345165,2020,
Daniel R. Hahn,Daniel Luca,Hahn,0009-0002-4306-6942,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3564-5189,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3346-3402,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1100-3066,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7085-4405,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-0749-9652,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1105-3565,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8301-8342,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3207-4402,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6360-4499,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6502-1660,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-0447-4965,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2548-0755,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0001-8079-7029,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5114-4448,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2896-9393,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0002-9847-1286,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8988-3089,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8380-528X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-1222-9019,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0606-2929,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5823-6011,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7195-3851,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0840-1541,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-4031-1762,,,,,,
