input,given,family,orcid,title,funder,identifier,award,start,end
"Smith,J. L.",Richard J,Smith,0000-0001-7998-2649,Firms' Estimates and Expectations of Output Growth: A Study of Individual Responses from the C.B.I. Surveys,ESRC,,,2000,2001
"Smith,J. L.",Richard J,Smith,0000-0001-7998-2649,The Quality of Approximate Inference based on Conditional Moment Tests and Estimators,ESRC,,,1998,2000
"Smith,J. L.",Richard J,Smith,0000-0001-7998-2649,Automatic Leading Indicators,ESRC,,,1997,1999
"Smith,J. L.",Adam J.,Smith,0009-0000-1213-4338,,,,,,
"Smith,J. L.",Peter J.,Smith,0000-0001-9752-6321,,,,,,
"Smith,J. L.",Deborah  J,Smith,0000-0002-9121-5669,,,,,,
"Smith,J. L.",Margaret J,Smith,0000-0003-2219-1381,,,,,,
"Smith,J. L.",Edward J,Smith,0000-0002-6364-1708,,,,,,
"Smith,J. L.",Astrid J.,Smith,0009-0009-3087-0721,,,,,,
"Smith,J. L.",Roger J,Smith,0000-0002-9356-2285,,,,,,
"Smith,J. L.",Laura J,Smith,0000-0001-5591-0739,,,,,,
"Smith,J. L.",Helene  J,Smith ,0000-0001-7456-0914,,,,,,
"Smith,J. L.",Lewis J,Smith,0000-0002-4728-1562,Chicagoland Metropolitan AsthmaNet Consortium (CMAC),"National Heart, Lung, and Blood Institute",,5U10HL098096-07,2009,2016
"Smith,J. L.",Lewis J,Smith,0000-0002-4728-1562,Study of Soy Isoflavones in Asthma (SOYA),"National Heart, Lung, and Blood Institute",,5U01HL087987-05,2009,2014
"Smith,J. L.",Steven J,Smith,0009-0008-9100-6163,,,,,,
"Smith,J. L.",Benjamin J.,Smith,0009-0003-5953-4998,,,,,,
"Smith,J. L.",Paul J,Smith,0000-0002-1012-1530,,,,,,
"Smith,J. L.",Ben J,Smith,0000-0002-9014-7254,,,,,,
"Smith,J. L.",Daniel J. ,Smith,0009-0002-4582-9050,,,,,,
"Smith,J. L.",Rosemary J.,Smith,0000-0003-4776-0982,,,,,,
"Smith,J. L.",J. Kelly,Smith,0000-0001-9397-5074,,,,,,
"Smith,J. L.",Elizabeth J,Smith,0000-0002-6210-5006,,,,,,
"Smith,J. L.",Kenneth J,Smith,0000-0001-8088-566X,,,,,,
"Smith,J. L.",Andrew J.,Smith,0000-0002-4327-5886,,,,,,
"Smith,J. L.",J. Mark,Smith,0009-0003-0678-327X,,,,,,
"Smith,J. L.",Ryan J.,Smith,0009-0005-5319-2995,A New Multi-functional and Connected Mobile App Guiding Acupressure Use for Self-management and Monitoring of Cancer Related Fatigue and Sleep Disturbances,National Cancer Institute,http://dx.doi.org/10.13039/100000054,R43CA261446,2021,2023
"Smith,J. L.",Andrew J.,Smith,0000-0002-9164-9491,,,,,,
"Smith,J. L.",Mitzi J,Smith,0000-0003-4288-6826,,,,,,
"Smith,J. L.",Nicola J,Smith,0000-0002-7247-9562,,,,,,
"Smith,J. L.",J Brock,Smith,0000-0003-1067-7026,,,,,,
"Smith,J. L.",Wendy J.,Smith,0009-0006-3842-0854,,,,,,
"Smith,J. L.",Dennis J.,Smith,0009-0001-2812-2136,,,,,,
"Smith,J. L.",Valarie J ,Smith,0000-0003-2902-4519,,,,,,
"Smith,J. L.",Harriet J.,Smith,0000-0003-4314-6571,,,,,,
"Smith,J. L.",Samantha J.,Smith,0000-0003-3142-3981,,,,,,
"Smith,J. L.",Sequioa J.,Smith,0000-0002-4704-2852,,,,,,
"Smith,J. L.",J Keith,Smith,0000-0001-7588-3520,MICROCIRCULATORY RESPONSES TO ISCHEMIA - REPERFUSION,"National Heart, Lung, and Blood Institute",,5F32HL007710-03,1989,
"Smith,J. L.",J Keith,Smith,0000-0001-7588-3520,MICROCIRCULATORY RESPONSES TO ISCHEMIA - REPERFUSION,National Heart Lung and Blood Institute,http://dx.doi.org/10.13039/100000050,F32HL007710,1988,1989
"Smith,J. L.",Daniel J. ,Smith,0009-0007-3572-0154,,,,,,
"Smith,J. L.",Aimee J.,Smith,0000-0002-1808-6960,,,,,,
"Smith,J. L.",J. Gustav,Smith,0000-0001-6285-9935,,,,,,
"Smith,J. L.",Kerri J.,Smith,0000-0002-7482-1106,,,,,,
"Smith,J. L.",J Scott,Smith,0000-0003-3270-5374,,,,,,
"Smith,J. L.",Peter J,Smith,0000-0003-2133-757X,,,,,,
"Smith,J. L.",Rebecca J,Smith,0000-0002-4085-5922,,,,,,
"Smith,J. L.",Matthew J,Smith,0000-0003-2896-9350,,,,,,
"Smith,J. L.",Daniel J. ,Smith,0009-0002-0165-1959,,,,,,
"Smith,J. L.",J. Carson,Smith,0000-0001-6142-0920,Exercise for Brain Health with Increased Genetic Risk for Alzheimer's Disease,National Institute on Aging,http://dx.doi.org/10.13039/100000049,R01AG057552,2017,2022
"Smith,J. L.",J. Carson,Smith,0000-0001-6142-0920,Physiological Responses to Pictures and Exercise in Dysphoria,National Institute of Mental Health,http://dx.doi.org/10.13039/100000025,F32MH066601,2003,2005
"Smith,J. L.",Michelle J.,Smith,0000-0003-3924-9690,"From Colonial to Modern: Transnational Girlhood in Australian, New Zealand, and Canadian Print Cultures (1840-1940)",Australian Research Council,,DP110101082,2011,2013
"Smith,J. L.",J. Darby,Smith,0000-0002-3643-0868,,,,,,
"Smith,J. L.",Stephen J.,Smith,0000-0003-4096-4675,,,,,,
"Smith,J. L.",Henry J. P.,Smith,0000-0001-8759-374X,,,,,,
"Smith,J. L.",David J. K.,Smith,0000-0002-2031-1557,,,,,,
"Smith,J. L.",A. J. Stewart,Smith,0000-0003-2978-9562,Theoretical and Experimental Physics,U.S. Department of Energy,http://dx.doi.org/10.13039/100000015,,1971,2008
"Smith,J. L.",Brian J Smith,Smith,0009-0004-4159-0526,,,,,,
"Smith,J. L.",Rory J E,Smith,0000-0001-8516-3324,,,,,,
"Smith,J. L.",Anthony K J,Smith,0000-0002-0005-9542,,,,,,
"Smith,J. L.",Demetrius J Smith,Smith,0009-0003-6132-8691,,,,,,
"Smith,J. L.","James, Jim, J.","Smith, Smith Jr.",0009-0003-2258-8327,,,,,,
"Smith,J. L.",A J R Osman,Smith,0009-0007-0129-4257,,,,,,
"Smith,J. L.",Adam J. R. W.,Smith,0000-0002-9156-9651,,,,,,
"Smith,J. L.",Charmaine J,Smith Campbell,0000-0002-7288-0487,,,,,,
"Smith,J. L.",Arthur J.,"Smith, III",0000-0002-6636-7281,,,,,,
"Smith,J. L.",Ruth J.,Babel-Smith,0000-0003-0604-3848,,,,,,
"Smith,J. L.",David J .,"Smith, Jr.",0009-0007-6159-3574,,,,,,
"Smith,J. L.",Erin J,Lawrence-Smith,0000-0002-5550-6039,,,,,,
"Smith,J. L.",Amanda J.,Smith Jones,0000-0002-3693-7917,Determining the role of SPAG1 in the cytoplasmic assembly of axonemal dynein arms,"National Heart, Lung, and Blood Institute",http://dx.doi.org/10.13039/100000050,,,
"Johnson,A.",A.,Johnson,0009-0005-9792-7682,,,,,,
"Johnson,A.",Richard A,Johnson,0000-0002-4999-6027,,,,,,
"Johnson,A.",A. Reeves,Johnson,0000-0003-2752-6638,,,,,,
"Johnson,A.",Jessica A,Johnson,0000-0003-2815-8830,,,,,,
"Johnson,A.",Rae A,Johnson,0000-0002-0583-6902,,,,,,
"Johnson,A.",John A.,Johnson,0000-0001-8208-177X,,,,,,
"Johnson,A.",William A.,Johnson,0000-0002-9752-5676,,,,,,
"Johnson,A.",A. Reeves,Johnson,0000-0002-2556-4641,,,,,,
"Johnson,A.",William A,Johnson,0000-0003-4152-0865,,,,,,
"Johnson,A.",Jermaine A.,Johnson,0009-0002-5407-9482,,,,,,
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Role of the amygdala in drug withdrawal and craving,Ontario Mental Health Foundation,http://dx.doi.org/10.13039/100012120,,2010,2012
"Johnson,A.",Sarah A.,Johnson,0000-0003-3392-0535,Neural mechanisms underlying stimulus discrimination and memory deficits in aging,McKnight Brain Research Foundation,,,2016,2018
